linie,statie,cod_statie,conexiune_linii,directie
101_0,BUCUR OBOR,1162,"66,101,143,",up
101_1,HALELE OBOR,3799,"101,682,",up
101_2,PIATA OBOR,4055,"101,682,",up
101_3,SOSEAUA PANTELIMON,2594,"101,",up
101_4,BAICULUI,1034,"101,",up
101_5,SOSEAUA IANCULUI,1035,"101,104,335,655,",up
101_6,BD.CHISINAU,243,"101,335,",up
101_7,PICTOR HARLESCU,2445,"101,335,",up
101_8,BD. NICOLAE GRIGORESCU,1039,"101,102,202,335,",up
101_9,PARCUL TITAN,925,"101,102,253,335,",up
101_10,LIVIU REBREANU,377,"101,102,311,",up
101_11,POLICLINICA TITAN,1042,"101,102,311,",up
101_12,POSTAVARULUI,1043,"101,102,311,",up
101_13,SOLD. MIHALE STELIAN,2446,"101,311,",up
101_14,CODRII NEAMTULUI,1044,"101,311,",up
101_15,BD. 1 DECEMBRIE 1918,1045,"101,311,",up
101_16,COMPLEX COMERCIAL TITAN,4319,"101,253,311,330,335,",up
101_17,FAUR,3886,"101,253,311,330,335,",up
101_0,FAUR,1000,"101,253,311,330,335,",down
101_1,COMPLEX COMERCIAL TITAN,4321,"101,311,",down
101_2,BD. 1 DECEMBRIE 1918,1002,"101,311,",down
101_3,CODRII NEAMTULUI,1003,"101,311,",down
101_4,BD. NICOLAE GRIGORESCU,1004,"101,311,",down
101_5,POSTAVARULUI,1005,"101,102,311,",down
101_6,POLICLINICA TITAN,1006,"101,102,311,",down
101_7,LIVIU REBREANU,922,"101,102,253,335,",down
101_8,CONSTANTIN BRANCUSI,1008,"101,335,",down
101_9,BD. BASARABIA,1009,"101,335,",down
101_10,PICTOR HARLESCU,1010,"101,335,",down
101_11,BD. CHISINAU,1036,"101,104,335,655,",down
101_12,SOSEAUA IANCULUI,1013,"101,",down
101_13,BAICULUI,1014,"101,",down
101_14,SOSEAUA PANTELIMON,776,"69, 85,101,",down
101_15,SOSEAUA MIHAI BRAVU,777,"69, 85,101,",down
101_16,SOSEAUA MIHAI BRAVU 33,180,"101,330,335,",down
101_17,BUCUR OBOR,4343,"101,330,335,",down
101_18,BUCUR OBOR,1162,"66,101,143,",down
