linie,statie,cod_statie,conexiune_linii,directie
780_0,GARA BASARAB,1989,"105,123,178,282,696,780,",up
780_1,GARA DE NORD,1544,"105,123,178,282,696,780,",up
780_2,CLABUCET,3170,"105,300,422,780,",up
780_3,PIATA PRESEI,1441,"131,205,335,780,783,",up
780_4,AEROPORT BANEASA,1659,"131,149,301,304,335,449,780,783,",up
780_5,ALEEA PRIVIGHETORILOR,1677,"304,449,780,783,",up
780_6,AMCO,1679,"449,780,783,",up
780_7,PRIMARIA OTOPENI,1693,"449,780,783,",up
780_8,AEROPORT HENRI COANDA PLECARI,3259,"780,783,",up
780_9,AEROPORT HENRI COANDA SOSIRI,3258,"780,783,",up
780_0,AEROPORT HENRI COANDA SOSIRI,3360,"780,783,",down
780_1,AEROPORT HENRI COANDA PLECARI,3303,"780,783,",down
780_2,PRIMARIA OTOPENI,1680,"449,780,783,",down
780_3,AMCO,1694,"449,780,783,",down
780_4,ALEEA PRIVIGHETORILOR,1697,"304,449,780,783,",down
780_5,AEROPORT BANEASA,1674,"131,149,304,335,449,780,783,",down
780_6,PIATA PRESEI,4512,"149,780,",down
780_7,CLABUCET,3154,"65, 86,105,780,",down
780_8,GARA DE NORD,784,"62, 85, 93, 96,105,282,696,780,",down
780_9,GARA BASARAB,1991,"105,133,178,282,696,780,",down
783_0,PIATA UNIRII 2,1207,"783,",up
783_1,UNIVERSITATE,2021,"381,783,",up
783_2,PIATA ROMANA,2277,"381,783,",up
783_3,PIATA VICTORIEI,897,"300,381,783,",up
783_4,ARCUL DE TRIUMF,1198,"131,331,335,783,",up
783_5,PIATA PRESEI,1441,"131,205,335,780,783,",up
783_6,POD BANEASA,379,"131,304,449,783,",up
783_7,AEROPORT BANEASA,1659,"131,149,301,304,335,449,780,783,",up
783_8,INSTITUTUL METEOROLOGIC,1661,"261,301,304,449,783,",up
783_9,ALEEA PRIVIGHETORILOR,1677,"304,449,780,783,",up
783_10,PASAJ C.F.R.OTOPENI,1678,"304,449,783,",up
783_11,AMCO,1679,"449,780,783,",up
783_12,PRIMARIA OTOPENI,1693,"449,780,783,",up
783_13,ICSITMUA,1681,"449,783,",up
783_14,AEROPORT HENRI COANDA PLECARI,3259,"780,783,",up
783_15,AEROPORT HENRI COANDA SOSIRI,3258,"780,783,",up
783_0,AEROPORT HENRI COANDA SOSIRI,3360,"780,783,",down
783_1,AEROPORT HENRI COANDA PLECARI,3303,"780,783,",down
783_2,AEROPORTUL HENRI COANDA,1691,"449,783,",down
783_3,ICSITMUA,1692,"449,783,",down
783_4,PRIMARIA OTOPENI,1680,"449,780,783,",down
783_5,AMCO,1694,"449,780,783,",down
783_6,PASAJ C.F.R. OTOPENI,1695,"304,449,783,",down
783_7,ALEEA PRIVIGHETORILOR,1697,"304,449,780,783,",down
783_8,INSTITUTUL METEOROLOGIC,1672,"261,301,304,449,783,",down
783_9,AEROPORT BANEASA,1674,"131,149,304,335,449,780,783,",down
783_10,POD BANEASA,644,"131,205,261,304,335,449,783,",down
783_11,PIATA PRESEI,4511,"131,205,330,331,335,783,",down
783_12,DOCENTILOR,3248,"783,",down
783_13,PIATA VICTORIEI,908,"300,381,783,",down
783_14,PIATA ROMANA,2204,"300,381,783,",down
783_15,PIATA 21 DECEMBRIE 1989,1994,"122,137,138,268,381,783,",down
783_16,PIATA UNIRII 1,1086,"104,116,117,123,124,312,313,783,",down
783_17,PIATA UNIRII 2,1207,"783,",down
