linie,statie,cod_statie,conexiune_linii,directie
402_0,ROMPRIM,4106,"124,402,414,611,634,",up
402_1,INSTITUTUL SF. MARIA,1626,"402,414,",up
402_2,PRESTIGE,3285,"402,414,",up
402_3,PARAUL RECE,1627,"402,414,",up
402_4,CAZANESTI,1628,"402,414,",up
402_5,PRIMARIA POPESTI-LEORDENI,1629,"402,414,",up
402_6,VIILOR,1630,"402,",up
402_7,FAGULUI,3104,"402,",up
402_8,VISCOFIL,1631,"402,",up
402_9,TABEREI,1632,"402,",up
402_10,ALEEA DANUBIANA,1249,"402,",up
402_11,DANUBIANA,1633,"402,",up
402_0,DANUBIANA,1633,"402,",down
402_1,SOSEAUA OLTENITEI,1634,"402,",down
402_2,TABEREI,1635,"402,",down
402_3,VISCOFIL,1636,"402,",down
402_4,FAGULUI,3105,"402,",down
402_5,VIILOR,1637,"402,",down
402_6,PRIMARIA POPESTI-LEORDENI,1638,"402,",down
402_7,CAZANESTI,1639,"402,414,",down
402_8,PARAUL RECE,1640,"402,414,",down
402_9,PRESTIGE,3286,"402,414,",down
402_10,INSTITUTUL SF. MARIA,1641,"402,414,",down
402_11,ROMPRIM,4107,"124,402,414,611,634,",down
406_0,LUJERULUI,3491,"106,406,",up
406_1,VETERANILOR,757,"61, 62,106,136,236,336,406,",up
406_2,RASARITULUI,1282,"61, 62,106,136,236,336,406,",up
406_3,PIATA GORJULUI,766,"61, 62,106,136,236,336,406,",up
406_4,ROSIA MONTANA,3334,"106,406,",up
406_5,DEZROBIRII,242,"106,178,406,",up
406_6,CIMITIRUL MILITARI,244,"106,178,406,",up
406_7,ALEXANDRU IOAN CUZA,1718,"406,",up
406_8,SCOALA DE APLICATIE,4657,"406,",up
406_9,LICEU,4342,"406,",up
406_10,EMINESCU,4658,"406,",up
406_11,G-RAL  PRAPORGESCU,1720,"406,",up
406_12,POPASUL RANDUNICA,4656,"406,",up
406_13,POLICLINICA,4647,"406,",up
406_14,BISERICII,4649,"406,",up
406_15,SAT DUDU,1723,"406,",up
