linie,statie,cod_statie,conexiune_linii,directie
1_0,SURA MARE,271,"1,  7, 11, 25,",up
1_1,CUTITUL DE ARGINT,1308,"1,",up
1_2,ADESGO,1312,"1,",up
1_3,COLEGIUL NATIONAL GH. SINCAI,4483,"1,",up
1_4,UNIV. CRESTINA DIMITRIE CANTE,3036,"1,",up
1_5,SCOALA GENERALA 81,1321,"1,",up
1_6,PAPAZOGLU,3257,"1,",up
1_7,BD. OCTAVIAN GOGA,1322,"1,",up
1_8,POSTA VITAN,500,"1, 23, 27,",up
1_9,PIATA VITAN,3655,"1,",up
1_10,BUCURESTI-MALL,3408,"1,",up
1_11,ZIZIN,3409,"1,",up
1_12,CALEA VITAN,4,"1,",up
1_13,LABORATOR,5,"1,",up
1_14,CALEA DUDESTI,6,"1,",up
1_15,BABA NOVAC,7,"1,",up
1_16,GHEORGHE PETRASCU,2303,"1,",up
1_17,PIATA HURMUZACHI,1501,"1,",up
1_18,VATRA LUMINOASA,10,"1,",up
1_19,PIATA IANCULUI,11,"1,",up
1_20,BD. FERDINAND,12,"1, 46,",up
1_21,BUCUR OBOR,571,"1, 46,",up
1_22,LIZEANU,572,"1, 46,",up
1_23,DR. GROZOVICI,178,"1, 46,",up
1_24,VASILE LASCAR,179,"1, 46,",up
1_25,STADION DINAMO,399,"1, 46,",up
1_26,CALEA DOROBANTILOR,181,"1, 46,",up
1_27,ROMA,182,"1, 46,",up
1_28,PASAJ VICTORIA,183,"1, 46,",up
1_29,DR. FELIX,151,"1,",up
1_30,BD. BANU MANTA,2381,"1,",up
1_0,BD. BANU MANTA,2381,"1,",down
1_1,PASAJUL BASARAB,4296,"1,",down
1_2,POD GROZAVESTI,2312,"1, 11, 35,",down
1_3,BD. IULIU MANIU,2313,"1, 11, 35,",down
1_4,BD. TIMISOARA,2314,"1, 11, 35,",down
1_5,PIATA DANNY HUWE,327,"1,  8, 11, 25,",down
1_6,APRODEX,343,"1,  8, 11, 25,",down
1_7,CALEA 13 SEPTEMBRIE,344,"1,  8, 11, 25,",down
1_8,INOX,345,"1,  8, 11, 25, 47,",down
1_9,CALEA RAHOVEI,346,"1, 11, 25, 47,",down
1_10,SPATARUL PREDA,347,"1, 11, 25, 47,",down
1_11,SOSEAUA VIILOR,2683,"1, 11, 25, 47,",down
1_12,STEFAN HEPITES,349,"1,  7, 11, 25,",down
1_13,PIATA EROII REVOLUTIEI,350,"1,  7, 11, 25,",down
1_14,CIMITIRUL SERBAN VODA,351,"1, 1,",down
1_15,SURA MARE,3754,"1, 1,",down
10_0,SURA MARE,271,"1,  7, 11, 25,",up
10_1,PIATA EROII REVOLUTIEI,2358,"1, 7, 11, 25,",up
10_2,STEFAN HEPITES,300,"1, 7, 11, 25,",up
10_3,DR. CONSTANTIN ISTRATI,3100,"1, 7, 11, 25,",up
10_4,SPATARUL PREDA,329,"1, 11, 25, 47,",up
10_5,CALEA RAHOVEI,328,"1, 8, 11, 25, 47,",up
10_6,INOX,331,"1, 8, 11, 25, 47,",up
10_7,CALEA 13 SEPTEMBRIE,330,"1, 8, 11, 25,",up
10_8,APRODEX,54,"1, 8, 11, 25,",up
10_9,PIATA DANNY HUWE,2315,"1, 8, 11, 25,",up
10_10,BD. VASILE MILEA,2308,"1, 8, 11, 25,",up
10_11,BD. IULIU MANIU,2309,"1, 11, 35,",up
10_12,POD GROZAVESTI,2310,"1, 11, 35,",up
10_13,PASAJUL BASARAB,4297,"1, 1,",up
