linie,statie,cod_statie,conexiune_linii,directie
61_0,MASTER,2627,"61, 62,137,138,178,236,",up
61_1,IMPRIMERIA NATIONALA,3536,"61, 62,137,138,178,236,",up
61_2,AUTOGARA MILITARI,2580,"61, 62,136,137,138,178,236,",up
61_3,APUSULUI,899,"61, 62,136,137,138,236,336,",up
61_4,VALEA LUNGA,681,"61, 62,136,137,138,236,336,",up
61_5,PIATA GORJULUI,692,"61, 62,136,236,336,",up
61_6,RASARITULUI,1285,"61, 62,136,236,336,",up
61_7,VETERANILOR,697,"61, 62,136,236,336,",up
61_8,LUJERULUI,706,"61, 62,136,236,336,",up
61_9,LICEUL TUDOR VLADIMIRESCU,708,"61, 62,136,236,336,",up
61_10,U.P.B.,1273,"61, 62,136,236,336,",up
61_11,FACULTATEA ELECTRONICA,715,"61, 62,136,236,336,",up
61_12,PIATA LEUL,639,"61, 62, 69, 90, 91, 93, 96,136,236,336,",up
61_13,CAROL DAVILA,251,"61, 62, 69, 90, 91, 93, 96,236,336,",up
61_14,POD COTROCENI,900,"61, 62, 69, 90, 91, 93, 96,123,696,",up
61_15,MIRCEA VULCANESCU,1128,"61, 69, 85, 90, 91,163,696,",up
61_16,CASA STUDENTILOR,586,"61, 69, 85, 90, 91,163,",up
61_17,VASILE PARVAN,587,"61, 69, 85, 90, 91,163,",up
61_18,PIATA MIHAIL KOGALNICEANU,758,"61, 66, 69, 70, 85, 90, 91,336,601,",up
61_19,GRADINA CISMIGIU,2934,"61, 66, 69, 70, 85, 90, 91,336,601,",up
61_20,UNIVERSITATE,759,"61, 66, 69, 70, 85, 90, 91,",up
61_21,PIATA ROSETTI,760,"61, 66, 69, 70, 85, 90, 91,336,601,",up
61_0,PIATA ROSETTI,760,"61, 66, 69, 70, 85, 90, 91,336,601,",down
61_1,TEATRUL NATIONAL,968,"61, 66, 69, 70, 85, 90, 91,336,601,",down
61_2,UNIVERSITATE,729,"61, 66, 69, 70, 85, 90, 91,336,601,",down
61_3,GRADINA CISMIGIU,2933,"61, 66, 69, 70, 85, 90, 91,122,137,138,268,336,601,",down
61_4,PIATA MIHAIL KOGALNICEANU,731,"61, 69, 90, 91,122,137,138,268,336,601,",down
61_5,FACULTATEA DE DREPT,2575,"61, 69, 90, 91,122,137,138,163,268,336,601,",down
61_6,STIRBEI VODA,1997,"61, 69, 90, 91,123,601,696,",down
61_7,GRADINA BOTANICA,848,"61, 62, 69, 90, 91, 93, 96,236,336,",down
61_8,PIATA LEUL,1394,"61, 62, 69, 90, 91, 93, 96,136,236,336,",down
61_9,BD. G-RAL VASILE MILEA,733,"61, 62,136,236,336,",down
61_10,U.P.B.,1098,"61, 62,136,236,336,",down
61_11,LICEUL TUDOR VLADIMIRESCU,756,"61, 62,136,236,336,",down
61_12,LUJERULUI,2506,"61, 62,136,236,336,",down
61_13,VETERANILOR,757,"61, 62,106,136,236,336,406,",down
61_14,RASARITULUI,1282,"61, 62,106,136,236,336,406,",down
61_15,PIATA GORJULUI,766,"61, 62,106,136,236,336,406,",down
61_16,VALEA LUNGA,768,"61, 62,136,137,138,236,336,",down
61_17,APUSULUI,781,"61, 62,136,137,138,236,336,",down
61_18,VALEA CASCADELOR,2628,"61, 62,137,138,178,236,",down
61_19,IMPRIMERIA NATIONALA,3535,"61, 62,137,138,178,236,",down
61_20,MASTER,2629,"61, 62,137,138,178,236,",down
62_0,GARA DE NORD,784,"62, 85, 93, 96,105,282,696,780,",up
62_1,WITING,785,"62, 85, 93, 96,123,133,163,696,",up
62_2,POD COTROCENI,728,"62, 93, 96,",up
62_3,GRADINA BOTANICA,848,"61, 62, 69, 90, 91, 93, 96,236,336,",up
62_4,PIATA LEUL,1394,"61, 62, 69, 90, 91, 93, 96,136,236,336,",up
62_5,BD. G-RAL VASILE MILEA,733,"61, 62,136,236,336,",up
62_6,U.P.B.,1098,"61, 62,136,236,336,",up
62_7,LICEUL TUDOR VLADIMIRESCU,756,"61, 62,136,236,336,",up
62_8,LUJERULUI,2506,"61, 62,136,236,336,",up
62_9,VETERANILOR,757,"61, 62,106,136,236,336,406,",up
62_10,RASARITULUI,1282,"61, 62,106,136,236,336,406,",up
62_11,PIATA GORJULUI,766,"61, 62,106,136,236,336,406,",up
62_12,VALEA LUNGA,768,"61, 62,136,137,138,236,336,",up
62_13,APUSULUI,781,"61, 62,136,137,138,236,336,",up
62_14,VALEA CASCADELOR,2628,"61, 62,137,138,178,236,",up
62_15,IMPRIMERIA NATIONALA,3535,"61, 62,137,138,178,236,",up
62_16,MASTER,2629,"61, 62,137,138,178,236,",up
62_17,NUFARUL,2630,"62,137,138,178,236,",up
62_18,METRO MILITARI,2775,"62,137,138,236,",up
62_19,VICTORIA,2631,"62,137,236,",up
62_20,GRUP SCOLAR AUTO,1146,"62,",up
62_0,GRUP SCOLAR AUTO,1155,"62,",down
62_1,VICTORIA,2625,"62,137,138,236,",down
62_2,METRO MILITARI,2774,"62,137,138,178,236,",down
62_3,NUFARUL,2626,"62,137,138,178,236,",down
62_4,MASTER,2627,"61, 62,137,138,178,236,",down
62_5,IMPRIMERIA NATIONALA,3536,"61, 62,137,138,178,236,",down
62_6,AUTOGARA MILITARI,2580,"61, 62,136,137,138,178,236,",down
62_7,APUSULUI,899,"61, 62,136,137,138,236,336,",down
62_8,VALEA LUNGA,681,"61, 62,136,137,138,236,336,",down
62_9,PIATA GORJULUI,692,"61, 62,136,236,336,",down
62_10,RASARITULUI,1285,"61, 62,136,236,336,",down
62_11,VETERANILOR,697,"61, 62,136,236,336,",down
62_12,LUJERULUI,706,"61, 62,136,236,336,",down
62_13,LICEUL TUDOR VLADIMIRESCU,708,"61, 62,136,236,336,",down
62_14,U.P.B.,1273,"61, 62,136,236,336,",down
62_15,FACULTATEA ELECTRONICA,715,"61, 62,136,236,336,",down
62_16,PIATA LEUL,639,"61, 62, 69, 90, 91, 93, 96,136,236,336,",down
62_17,CAROL DAVILA,251,"61, 62, 69, 90, 91, 93, 96,236,336,",down
62_18,POD COTROCENI,900,"61, 62, 69, 90, 91, 93, 96,123,696,",down
62_19,CALEA PLEVNEI,2101,"62, 93, 96,696,",down
62_20,BD. DINICU GOLESCU,904,"62, 85, 93, 96,133,696,",down
62_21,MINISTERUL TRANSPORTURILOR,905,"62, 85, 93, 96,133,696,",down
62_22,GARA DE NORD,784,"62, 85, 93, 96,105,282,696,780,",down
65_0,DRIDU,834,"65, 86,",up
65_1,FAUREI,835,"65, 86,",up
65_2,PIATA PAJURA,836,"65, 86,",up
65_3,PAJUREI,837,"65, 86,697,",up
65_4,SOSEAUA CHITILEI,838,"65, 86,697,",up
65_5,CARPATI,839,"65, 86,422,",up
65_6,CLABUCET,3154,"65, 86,105,780,",up
65_7,R.A.R.,3233,"65, 86,105,",up
65_8,LAINICI,3156,"65, 86,105,",up
65_9,KIEV,3157,"65, 86,105,",up
65_10,GRIRO,3158,"65, 86,105,",up
65_11,CARAIMAN,3159,"65, 86,105,",up
65_12,CIMITIRUL SFANTA VINERI,3160,"65, 86,105,",up
65_13,PASAJ GRANT,3161,"65, 86,105,",up
65_14,STOICA LUDESCU,3010,"65, 86,105,",up
65_15,SOSEAUA NICOLAE TITULESCU,2993,"65, 86,105,",up
65_16,GARA DE NORD,2994,"65, 86,105,",up
65_17,POLIZU,3253,"65, 86,",up
65_18,PIATA BUZESTI,438,"65, 79, 86,",up
65_19,SFINTII VOIEVOZI,3141,"65,",up
65_0,SFINTII VOIEVOZI,3141,"65,",down
65_1,PIATA BUZESTI,428,"65, 79, 86,",down
65_2,CALEA GRIVITEI,2597,"65, 79, 86,205,",down
65_3,GARA DE NORD,2863,"65, 86,105,282,",down
65_4,NICOLAE TITULESCU,2995,"65, 86,105,",down
65_5,STOICA LUDESCU,3009,"65, 86,105,",down
65_6,PASAJ GRANT,2996,"65, 86,105,",down
65_7,CIMITIRUL SFANTA VINERI,3086,"65, 86,105,",down
65_8,CARAIMAN,3087,"65, 86,105,",down
65_9,GRIRO,3164,"65, 86,105,",down
65_10,KIEV,3165,"65, 86,105,",down
65_11,LAINICI,3166,"65, 86,105,",down
65_12,R.A.R.,3234,"65, 86,105,",down
65_13,CLABUCET,3168,"65, 86,",down
65_14,CARPATI,828,"65, 86,422,",down
65_15,DEPOUL BUCURESTII NOI,829,"65, 86,697,",down
65_16,PAJUREI,830,"65, 86,",down
65_17,PIATA PAJURA,831,"65, 86,",down
65_18,FAUREI,832,"65, 86,",down
65_19,DRIDU,833,"65, 86,",down
66_0,SPITALUL FUNDENI,2139,"66,253,",up
66_1,BALOTULUI,4545,"66,253,",up
66_2,SPORTULUI,1174,"66,253,409,",up
66_3,CARTIER COLENTINA,1175,"66,182,682,",up
66_4,RAUL COLENTINA,1176,"66,182,282,682,",up
66_5,CREMENITA (PIATA COLENTINA),3993,"66,182,282,682,",up
66_6,DOAMNA GHICA,1029,"66,143,182,682,",up
66_7,TEIUL DOAMNEI,1030,"66,143,682,",up
66_8,BUCUR OBOR,1177,"66,143,",up
66_9,FAINARI,1178,"66,",up
66_10,MIHAI EMINESCU,2403,"66,",up
66_11,BD. CAROL I,2404,"66,",up
66_12,ARMENEASCA,2405,"66, 69, 70, 85, 90,311,655,",up
66_13,TEATRUL NATIONAL,968,"61, 66, 69, 70, 85, 90, 91,336,601,",up
66_14,UNIVERSITATE,729,"61, 66, 69, 70, 85, 90, 91,336,601,",up
66_15,GRADINA CISMIGIU,2933,"61, 66, 69, 70, 85, 90, 91,122,137,138,268,336,601,",up
66_16,PIATA MIHAIL KOGALNICEANU,730,"66, 70, 85,",up
66_17,VASILE PARVAN,2940,"66, 70,",up
66_0,VASILE PARVAN,2940,"66, 70,",down
66_1,PIATA MIHAIL KOGALNICEANU,758,"61, 66, 69, 70, 85, 90, 91,336,601,",down
66_2,GRADINA CISMIGIU,2934,"61, 66, 69, 70, 85, 90, 91,336,601,",down
66_3,UNIVERSITATE,759,"61, 66, 69, 70, 85, 90, 91,",down
66_4,PIATA ROSETTI,760,"61, 66, 69, 70, 85, 90, 91,336,601,",down
66_5,ARMENEASCA,2398,"66, 69, 70, 85, 90,311,655,",down
66_6,CALEA MOSILOR,1909,"66,",down
66_7,MIHAI EMINESCU,2400,"66,",down
66_8,FAINARI,2401,"66,",down
66_9,BUCUR OBOR,1162,"66,101,143,",down
66_10,ZIDURI MOSI,1017,"66,143,682,",down
66_11,SUVEICA,1018,"66,143,182,682,",down
66_12,DOAMNA GHICA,1163,"66,182,282,682,",down
66_13,CREMENITA (PIATA COLENTINA),3994,"66,182,282,682,",down
66_14,RAUL COLENTINA,1164,"66,182,682,",down
66_15,CARTIER COLENTINA,3344,"66,253,",down
66_16,SPORTULUI,1166,"66,253,",down
66_17,BALOTULUI,3351,"66,253,",down
66_18,SPITALUL FUNDENI,2139,"66,253,",down
69_0,VALEA ARGESULUI,2043,"69, 90, 93,168,173,221,268,368,668,",up
69_1,DRUMUL TABEREI 98,2055,"69, 90, 93,173,368,",up
69_2,ALEEA VLASIEI,1108,"69, 90, 93,173,368,",up
69_3,LICEUL EUGEN LOVINESCU,1109,"69, 90, 93,173,368,",up
69_4,1 MAI,4497,"69, 90, 93,126,",up
69_5,DRUMETUL,2046,"69, 90, 93,126,",up
69_6,SIBIU,2047,"69, 90, 93,126,",up
69_7,FAVORIT,2048,"69, 90, 93,126,",up
