stop_id,stop_long,stop_lat,stop_name
1162,26.12598,44.45089,BUCUR OBOR
3799,,,HALELE OBOR
4055,,,PIATA OBOR
2594,26.134882,44.445912,SOSEAUA PANTELIMON
1034,26.141905,44.444267,BAICULUI
1035,26.149867,44.442499,SOSEAUA IANCULUI
243,26.157121,44.442015,BD.CHISINAU
2445,26.158313,44.438151,PICTOR HARLESCU
1039,26.160116,44.43417,BD. NICOLAE GRIGORESCU
925,26.16204,44.428696,PARCUL TITAN
377,26.163232,44.424406,LIVIU REBREANU
1042,26.164146,44.420811,POLICLINICA TITAN
1043,26.164783,44.416525,POSTAVARULUI
2446,26.167353,44.416004,SOLD. MIHALE STELIAN
1044,26.172499,44.417329,CODRII NEAMTULUI
1045,26.176293,44.41831,BD. 1 DECEMBRIE 1918
4319,,,COMPLEX COMERCIAL TITAN
3886,26.179506,44.427341,FAUR
1000,26.178914,44.426235,FAUR
4321,,,COMPLEX COMERCIAL TITAN
1002,26.175932,44.418631,BD. 1 DECEMBRIE 1918
1003,26.172045,44.417482,CODRII NEAMTULUI
1004,26.166218,44.415953,BD. NICOLAE GRIGORESCU
1005,26.165228,44.416752,POSTAVARULUI
1006,26.164434,44.421372,POLICLINICA TITAN
922,26.163391,44.425512,LIVIU REBREANU
1008,26.162151,44.429795,CONSTANTIN BRANCUSI
1009,26.160006,44.435462,BD. BASARABIA
1010,26.15844,44.438767,PICTOR HARLESCU
1036,26.156133,44.4432,BD. CHISINAU
1013,26.148864,44.443815,SOSEAUA IANCULUI
1014,26.140813,44.444666,BAICULUI
776,26.133908,44.445959,SOSEAUA PANTELIMON
777,26.130396,44.444446,SOSEAUA MIHAI BRAVU
180,26.12738,44.445512,SOSEAUA MIHAI BRAVU 33
4343,26.125394,44.449166,BUCUR OBOR
1047,26.16869,44.436497,BD. BASARABIA
2233,26.162625,44.413404,PIATA TITAN
2234,26.158547,44.413698,ILIOARA
1050,26.152357,44.414367,FIZICIENILOR
