stop_id,stop_long,stop_lat,stop_name
1989,26.068945,44.448983,GARA BASARAB
1544,26.073911,44.445666,GARA DE NORD
3170,26.051788,44.470508,CLABUCET
1441,26.073331,44.478135,PIATA PRESEI
1659,26.079774,44.496501,AEROPORT BANEASA
1677,26.077982,44.518483,ALEEA PRIVIGHETORILOR
1679,26.068758,44.541064,AMCO
1693,26.069073,44.550146,PRIMARIA OTOPENI
3259,26.076943,44.571391,AEROPORT HENRI COANDA PLECARI
3258,26.077374,44.569381,AEROPORT HENRI COANDA SOSIRI
1207,26.102856,44.425783,PIATA UNIRII 2
3303,26.07696,44.571427,AEROPORT HENRI COANDA PLECARI
1680,26.068866,44.550431,PRIMARIA OTOPENI
1694,26.068557,44.541163,AMCO
1697,26.078716,44.517129,ALEEA PRIVIGHETORILOR
1674,26.078958,44.496003,AEROPORT BANEASA
4512,26.071869,44.477254,PIATA PRESEI
3154,26.050462,44.470258,CLABUCET
784,26.074691,44.445728,GARA DE NORD
1991,26.069091,44.449179,GARA BASARAB
2021,26.103014,44.434787,UNIVERSITATE
2277,26.09778,44.445155,PIATA ROMANA
897,26.087928,44.451532,PIATA VICTORIEI
1198,26.078322,44.467694,ARCUL DE TRIUMF
379,26.079201,44.490908,POD BANEASA
1661,26.080672,44.513172,INSTITUTUL METEOROLOGIC
1678,26.069721,44.530122,PASAJ C.F.R.OTOPENI
1681,26.069492,44.559979,ICSITMUA
3360,26.077417,44.569459,AEROPORT HENRI COANDA SOSIRI
1691,26.069701,44.568698,AEROPORTUL HENRI COANDA
1692,,,ICSITMUA
1695,26.069392,44.53051,PASAJ C.F.R. OTOPENI
1672,26.080657,44.512761,INSTITUTUL METEOROLOGIC
644,26.078913,44.490839,POD BANEASA
4511,26.072833,44.477161,PIATA PRESEI
3248,26.080429,44.46241,DOCENTILOR
908,26.087376,44.451491,PIATA VICTORIEI
2204,26.096885,44.446241,PIATA ROMANA
1994,26.101809,44.436239,PIATA 21 DECEMBRIE 1989
1086,26.100811,44.427187,PIATA UNIRII 1
