stop_id,stop_long,stop_lat,stop_name
4106,26.145619,44.384023,ROMPRIM
1626,26.150857,44.381693,INSTITUTUL SF. MARIA
3285,26.155521,44.380517,PRESTIGE
1627,26.159969,44.379951,PARAUL RECE
1628,26.164146,44.379934,CAZANESTI
1629,26.168428,44.379774,PRIMARIA POPESTI-LEORDENI
1630,26.173434,44.377078,VIILOR
3104,26.177405,44.374139,FAGULUI
1631,26.179551,44.372596,VISCOFIL
1632,26.184286,44.369115,TABEREI
1249,26.193952,44.364424,ALEEA DANUBIANA
1633,26.195629,44.367339,DANUBIANA
3491,26.033925,44.434399,LUJERULUI
1634,26.193693,44.364267,SOSEAUA OLTENITEI
1635,26.184762,44.368852,TABEREI
1636,26.180246,44.372211,VISCOFIL
3105,26.176938,44.374604,FAGULUI
1637,26.174024,44.376777,VIILOR
1638,26.169905,44.379607,PRIMARIA POPESTI-LEORDENI
1639,26.16443,44.380035,CAZANESTI
1640,26.159388,44.380128,PARAUL RECE
3286,26.15483,44.380677,PRESTIGE
1641,26.150183,44.382062,INSTITUTUL SF. MARIA
4107,26.146784,44.38348,ROMPRIM
757,26.028823,44.434329,VETERANILOR
1282,26.023608,44.434291,RASARITULUI
766,26.021442,44.434232,PIATA GORJULUI
3334,26.023574,44.438079,ROSIA MONTANA
242,26.025235,44.440753,DEZROBIRII
244,26.021886,44.442203,CIMITIRUL MILITARI
1718,,,ALEXANDRU IOAN CUZA
4657,,,SCOALA DE APLICATIE
4342,,,LICEU
4658,,,EMINESCU
1720,,,G-RAL  PRAPORGESCU
4656,,,POPASUL RANDUNICA
4647,,,POLICLINICA
4649,,,BISERICII
1723,,,SAT DUDU
1724,,,CIMITIRUL CHIAJNA
2508,,,BISERICA CHIAJNA
1725,,,MAGAZIN ALIMENTAR
4650,,,STATUIE
3464,26.04436,44.414671,GHENCEA
4646,,,CHIAJNA
4651,,,STATUIE
1729,,,MAGAZIN ALIMENTAR
1730,,,BISERICA CHIAJNA
1731,,,CIMITIRUL CHIAJNA
4659,,,PREOT SEBE COSTIN
1732,,,SAT DUDU
4655,,,BISERICII
4652,,,POLICLINICA
1735,,,G-RAL  PRAPORGESCU
1736,,,G-RAL  EREMIA GRIGORESCU
1737,,,ALEXANDRU IOAN CUZA
1738,,,CANAL ARGES
3503,26.020018,44.443264,BD.UVERTURII
1295,26.022018,44.441995,CIMITIRUL MILITARI
234,26.025868,44.440263,DEZROBIRII
235,26.029102,44.4387,TEATRUL MASCA
236,26.034219,44.436478,PASAJ LUJERULUI
637,26.033989,44.414101,BRASOV
3475,26.030215,44.41365,DRUMUL COOPERATIVEI
3243,26.024831,44.41298,PRELUNGIREA GHENCEA
1130,26.017944,44.412138,VALEA OLTULUI
4083,26.00667,44.410692,ANSAMBLUL PRIMAVARA
1830,26.001922,44.410205,SERE MILITARI
4171,25.998088,44.409645,DRUMUL FUNIGEILOR
4465,25.994057,44.409018,MAGNOLIEI
4448,25.990116,44.407747,CARTIERUL LATIN
1142,25.979735,44.407227,CIMITIRUL GHENCEA 2
1149,25.975413,44.406208,CENTURA DOMNESTI
4404,25.968743,44.404747,STATIA ELECTRICA
3330,25.95809,44.403518,PUTUL OLTENI
1831,25.945466,44.403352,RADULUI
4412,25.939207,44.403256,FRUMOASA
1150,25.933062,44.40085,PODUL CIOROGARLA
4405,25.92897,44.401406,FLOAREA SOARELUI
4406,25.9237,44.401024,FABULEI
1160,25.919045,44.398604,PANSELELOR
1170,25.915044,44.398767,PRIMARIA DOMNESTI
1153,25.90981,44.401024,CIUTACI
4407,25.906654,44.401938,SCOALA GHEORGHE CORNELIU
4413,25.902658,44.403067,MORII
3379,25.898404,44.404261,CANTON DRUMURI
1186,25.892885,44.405856,C.F.R. DOMNESTI
1750,26.156789,44.462567,INSTITUTUL ONCOLOGIC
3380,25.898515,44.404174,CANTON DRUMURI
1187,25.902976,44.402902,SCOALA DE 4 ANI
1834,25.907356,44.401658,SCOALA GHEORGHE CORNELIU
4417,25.909703,44.400974,CIUTACI
1204,25.914794,44.398824,PRIMARIA DOMNESTI
4414,25.918903,44.398415,BABOI
4408,25.923603,44.400907,SARUTULUI
4409,25.92928,44.401288,FLOAREA SOARELUI
1228,25.933411,44.40074,PODUL CIOROGARLA
4415,25.939524,44.403208,BUBICA
4416,25.945804,44.403278,CERNEI
3331,25.958879,44.403442,PUTUL OLTENI
4410,25.969262,44.40479,ANSAMBLUL OLTENI
1242,25.975794,44.406211,CENTURA DOMNESTI
3115,26.050204,44.471625,PIATA CLABUCET
3137,26.044669,44.476823,SOSEAUA CHITILA
3643,26.033624,44.48098,CRINULUI
3128,,,MEZES
