trip_id,arrival_time,departure_time,stop_id,stop_sequence
L4_LV_U_1,5:45:00,5:45:00,PENT,1
L4_LV_U_1,5:50:00,5:50:00,PCLI,2
L4_LV_U_1,5:55:00,5:55:00,LTVI,3
L4_LV_U_1,6:00:00,6:00:00,PCEN,4
L4_LV_U_1,6:10:00,6:10:00,4PTR,5
L4_LV_U_1,6:15:00,6:15:00,KAUF,6
L4_LV_U_1,6:20:00,6:20:00,DAS,7
L4_LV_U_2,7:15:00,7:15:00,PENT,1
L4_LV_U_2,7:20:00,7:20:00,PCLI,2
L4_LV_U_2,7:25:00,7:25:00,LTVI,3
L4_LV_U_2,7:30:00,7:30:00,PCEN,4
L4_LV_U_2,7:40:00,7:40:00,4PTR,5
L4_LV_U_2,7:45:00,7:45:00,KAUF,6
L4_LV_U_2,7:50:00,7:50:00,DAS,7
L4_LV_U_3,8:30:00,8:30:00,PENT,1
L4_LV_U_3,8:35:00,8:35:00,PCLI,2
L4_LV_U_3,8:40:00,8:40:00,LTVI,3
L4_LV_U_3,8:45:00,8:45:00,PCEN,4
L4_LV_U_3,8:55:00,8:55:00,4PTR,5
L4_LV_U_3,9:00:00,9:00:00,KAUF,6
L4_LV_U_4,9:30:00,9:30:00,PENT,1
L4_LV_U_4,9:35:00,9:35:00,PCLI,2
L4_LV_U_4,9:40:00,9:40:00,LTVI,3
L4_LV_U_4,9:45:00,9:45:00,PCEN,4
L4_LV_U_4,9:55:00,9:55:00,4PTR,5
L4_LV_U_4,10:00:00,10:00:00,KAUF,6
L4_LV_U_5,10:30:00,10:30:00,PENT,1
L4_LV_U_5,10:35:00,10:35:00,PCLI,2
L4_LV_U_5,10:40:00,10:40:00,LTVI,3
L4_LV_U_5,10:45:00,10:45:00,PCEN,4
L4_LV_U_5,10:55:00,10:55:00,4PTR,5
L4_LV_U_5,11:00:00,11:00:00,KAUF,6
L4_LV_U_6,12:30:00,12:30:00,PENT,1
L4_LV_U_6,12:35:00,12:35:00,PCLI,2
L4_LV_U_6,12:40:00,12:40:00,LTVI,3
L4_LV_U_6,12:45:00,12:45:00,PCEN,4
L4_LV_U_6,12:55:00,12:55:00,4PTR,5
L4_LV_U_6,13:00:00,13:00:00,KAUF,6
L4_LV_U_7,13:30:00,13:30:00,PENT,1
L4_LV_U_7,13:35:00,13:35:00,PCLI,2
L4_LV_U_7,13:40:00,13:40:00,LTVI,3
L4_LV_U_7,13:45:00,13:45:00,PCEN,4
L4_LV_U_7,13:55:00,13:55:00,4PTR,5
L4_LV_U_7,14:00:00,14:00:00,KAUF,6
L4_LV_U_7,14:05:00,15:05:00,DAS,7
L4_LV_U_8,15:30:00,15:30:00,PENT,1
L4_LV_U_8,15:35:00,15:35:00,PCLI,2
L4_LV_U_8,15:40:00,15:40:00,LTVI,3
L4_LV_U_8,15:45:00,15:45:00,PCEN,4
L4_LV_U_8,15:55:00,15:55:00,4PTR,5
L4_LV_U_8,15:00:00,15:00:00,KAUF,6
L4_LV_U_8,16:05:00,16:05:00,DAS,7
L4_LV_U_9,17:00:00,17:00:00,PENT,1
L4_LV_U_9,17:05:00,17:05:00,PCLI,2
L4_LV_U_9,17:10:00,17:10:00,LTVI,3
L4_LV_U_9,17:15:00,17:15:00,PCEN,4
L4_LV_U_9,17:25:00,17:25:00,4PTR,5
L4_LV_U_9,17:30:00,17:30:00,KAUF,6
L4_SD_U_1,7:15:00,7:15:00,PENT,1
L4_SD_U_1,7:20:00,7:20:00,PCLI,2
L4_SD_U_1,7:25:00,7:25:00,LTVI,3
L4_SD_U_1,7:30:00,7:30:00,PCEN,4
L4_SD_U_1,7:40:00,7:40:00,4PTR,5
L4_SD_U_1,7:45:00,7:45:00,KAUF,6
L4_SD_U_2,8:30:00,8:30:00,PENT,1
L4_SD_U_2,8:35:00,8:35:00,PCLI,2
L4_SD_U_2,8:40:00,8:40:00,LTVI,3
L4_SD_U_2,8:45:00,8:45:00,PCEN,4
L4_SD_U_2,8:55:00,8:55:00,4PTR,5
L4_SD_U_2,9:00:00,9:00:00,KAUF,6
L4_SD_U_3,9:30:00,9:30:00,PENT,1
L4_SD_U_3,9:35:00,9:35:00,PCLI,2
L4_SD_U_3,9:40:00,9:40:00,LTVI,3
L4_SD_U_3,9:45:00,9:45:00,PCEN,4
L4_SD_U_3,9:55:00,9:55:00,4PTR,5
L4_SD_U_3,10:00:00,10:00:00,KAUF,6
