stop_id,stop_long,stop_lat,stop_name
271,26.097277,44.402972,SURA MARE
1308,26.097224,44.409055,CUTITUL DE ARGINT
1312,26.100462,44.411431,ADESGO
4483,26.105551,44.414658,COLEGIUL NATIONAL GH. SINCAI
3036,26.112806,44.416551,UNIV. CRESTINA DIMITRIE CANTE
1321,26.114924,44.419144,SCOALA GENERALA 81
3257,26.116773,44.421402,PAPAZOGLU
1322,26.118585,44.423663,BD. OCTAVIAN GOGA
500,26.122701,44.423985,POSTA VITAN
3655,26.123606,44.422923,PIATA VITAN
3408,26.125618,44.420112,BUCURESTI-MALL
3409,26.128555,44.417756,ZIZIN
4,26.133212,44.415289,CALEA VITAN
5,26.135138,44.417488,LABORATOR
6,26.1366,44.420004,CALEA DUDESTI
7,26.137507,44.425339,BABA NOVAC
2303,26.138719,44.428423,GHEORGHE PETRASCU
1501,26.139165,44.431546,PIATA HURMUZACHI
10,26.136454,44.437417,VATRA LUMINOASA
11,26.13393,44.440755,PIATA IANCULUI
12,26.128153,44.444484,BD. FERDINAND
571,26.124924,44.449111,BUCUR OBOR
572,26.12017,44.451894,LIZEANU
178,26.11508,44.452682,DR. GROZOVICI
179,26.11179,44.452868,VASILE LASCAR
399,26.105849,44.452985,STADION DINAMO
181,26.098979,44.453029,CALEA DOROBANTILOR
182,26.093994,44.452713,ROMA
183,26.090903,44.452473,PASAJ VICTORIA
151,26.079971,44.452149,DR. FELIX
2381,26.073672,44.452765,BD. BANU MANTA
4296,26.068412,44.449947,PASAJUL BASARAB
2312,26.06052,44.44257,POD GROZAVESTI
2313,26.054413,44.435308,BD. IULIU MANIU
2314,26.054442,44.428933,BD. TIMISOARA
327,26.062173,44.428475,PIATA DANNY HUWE
343,26.066241,44.425179,APRODEX
344,26.06979,44.422478,CALEA 13 SEPTEMBRIE
345,26.074928,44.418527,INOX
346,26.07908,44.415099,CALEA RAHOVEI
347,26.08336,44.411536,SPATARUL PREDA
2683,26.083717,44.411292,SOSEAUA VIILOR
349,26.091296,44.408113,STEFAN HEPITES
350,26.095371,44.405659,PIATA EROII REVOLUTIEI
351,26.098885,44.401745,CIMITIRUL SERBAN VODA
3754,26.097984,44.401152,SURA MARE
2358,26.094668,44.406104,PIATA EROII REVOLUTIEI
300,26.091565,44.407954,STEFAN HEPITES
3100,,,DR. CONSTANTIN ISTRATI
329,26.08901,44.41121,SPATARUL PREDA
328,26.077573,44.416492,CALEA RAHOVEI
331,26.075174,44.418421,INOX
330,26.069349,44.422989,CALEA 13 SEPTEMBRIE
54,26.066719,44.424826,APRODEX
2315,,,PIATA DANNY HUWE
2308,26.054954,44.428695,BD. VASILE MILEA
2309,26.05436,44.434772,BD. IULIU MANIU
2310,26.060258,44.442392,POD GROZAVESTI
4297,26.069309,44.450141,PASAJUL BASARAB
2361,26.07429,44.452602,BD. BANU MANTA
2362,26.080715,44.452105,DR. FELIX
983,26.091772,44.452507,PASAJ VICTORIA
166,26.094525,44.452733,ROMA
167,26.098272,44.453005,CALEA DOROBANTILOR
400,26.104335,44.452971,STADION DINAMO
169,26.111331,44.452864,VASILE LASCAR
170,26.114724,44.452699,DR. GROZOVICI
171,26.11941,44.452072,LIZEANU
582,26.125214,44.448804,BUCUR OBOR
583,26.129906,44.443253,BD. FERDINAND
401,26.132916,44.441501,PIATA IANCULUI
36,26.136188,44.437818,VATRA LUMINOASA
2305,26.137385,44.434907,MIEILOR
4454,,,PIATA HURMUZACHI
2306,26.138561,44.428146,GHEORGHE PETRASCU
38,26.1374,44.424912,BABA NOVAC
3001,26.107484,44.433852,HRISTO BOTEV
187,26.108816,44.439915,BATISTEI
188,26.1112,44.444716,PIATA GEMENI
190,26.10517,44.45268,SOSEAUA STEFAN CEL MARE
2321,26.10685,44.460174,ROSSINI
2323,26.109759,44.469641,GIUSEPPE VERDI
2916,26.102406,44.480363,SOSEAUA PIPERA
2423,26.119283,44.423971,NERVA TRAIAN
3256,26.116974,44.421731,PAPAZOGLU
1325,26.115032,44.419343,SCOALA GENERALA 81
3135,26.112376,44.416361,UNIVERSITATEA CRESTINA DIMITR
372,26.090145,44.373109,CAP. RADUCANU CRISTEA
2914,26.091676,44.378626,LUICA
267,26.092165,44.386129,DRUMUL GAZARULUI
269,26.093808,44.392886,PIATA PROGRESUL
371,26.088881,44.369024,C.F.R. PROGRESUL
990,26.090952,44.37593,ANGHEL NUTU
259,26.084311,44.381959,CIMITIRUL PROGRESUL
260,26.081361,44.383878,BACIULUI
3028,26.07798,44.38641,ZETARILOR
185,26.10374,44.432242,PIATA SF. GHEORGHE
186,26.110402,44.436774,BD. CAROL I
1226,26.10962,44.442032,MARIA ROSETTI
2319,26.108163,44.447147,TEATRUL METROPOLIS
2320,26.105795,44.456739,BD. LACUL TEI
2322,,,CEAIKOVSKI
2324,26.107107,44.475441,MUZEUL AVIATIEI
2326,26.097308,44.484085,MAGURICEA
2327,26.094134,44.486265,PASAJ BANEASA
2328,26.088,44.492543,APICOLA
3756,26.083165,44.494041,PIATA BANEASA
266,26.092305,44.382308,CIMITIRUL EVREIESC
268,26.092182,44.389357,TOPORASI
270,26.095887,44.397414,MUZEUL BACOVIA
2337,26.108389,44.465178,CEAIKOVSKI
2338,26.106908,44.460417,ROSSINI
2339,26.105931,44.457221,BD. LACUL TEI
2340,26.104791,44.453564,SOSEAUA STEFAN CEL MARE
2341,26.107639,44.447755,TEATRUL METROPOLIS
422,25.983293,44.430048,INSCUT
425,25.993353,44.430817,URBIS
2356,,,C.F.R. COTROCENI
3512,26.00485,44.424083,RADOX
2352,26.018125,44.426225,FRIGOCOM
3304,26.027287,44.426907,COMPASULUI
2363,26.091602,44.41469,AUTOGARA FILARET
3686,26.095154,44.419727,PARCUL CAROL I
1409,26.095669,44.420984,GRAMONT
473,26.095478,44.423803,PATRIARHIA ROMANA
472,26.100049,44.426531,PIATA UNIRII
420,25.977058,44.429568,DEPOUL MILITARI
423,25.988475,44.430429,S.C. VEST
426,26.003658,44.431726,CESAROM
4325,26.000487,44.423744,VALEA CASCADELOR
2353,26.012786,44.424845,VALEA OLTULUI
2351,26.023939,44.426695,ROMANCIERILOR
2350,26.03459,44.427484,BRASOV
252,26.097115,44.400385,SURA MARE
253,26.095979,44.397648,MUZEUL BACOVIA
254,26.093927,44.393273,PIATA PROGRESUL
255,26.092276,44.389659,TOPORASI
256,26.09212,44.38637,DRUMUL GAZARULUI
257,26.092281,44.382394,CIMITIRUL EVREIESC
2915,26.091745,44.378999,LUICA
991,26.090987,44.37615,ANGHEL NUTU
382,26.090214,44.373391,CAP. RADUCANU CRISTEA
383,26.088961,44.369234,C.F.R. PROGRESUL
893,26.039317,44.427894,SERGENT MOISE
2385,26.048207,44.428285,SIBIU
2386,26.054046,44.428638,BD. VASILE MILEA
476,26.077691,44.415258,SOSEAUA PROGRESULUI
97,26.073705,44.413172,CALEA FERENTARI
307,26.077816,44.408446,SOSEAUA SALAJ
308,26.079567,44.406349,CIBINULUI
309,26.081569,44.403202,ARMISTITIULUI
1345,26.083853,44.400866,SULITEI
310,26.084868,44.398137,PIATA FERENTARI
556,26.082716,44.393057,VADUL NOU
557,26.080662,44.390053,VALTOAREI
558,26.077701,44.386562,ZETARILOR
4486,,,ZETARILOR
560,26.080989,44.390519,VALTOAREI
561,26.082661,44.392929,VADUL NOU
280,26.084776,44.398615,PIATA FERENTARI
1343,26.083564,44.401165,SULITEI
281,26.081821,44.403058,ARMISTITIULUI
282,26.079863,44.405966,CIBINULUI
283,26.078184,44.408084,SOSEAUA SALAJ
52,26.074281,44.413462,CALEA FERENTARI
585,26.048841,44.428355,SIBIU
2387,26.040518,44.428021,SERGENT MOISE
885,26.031968,44.427303,BRASOV
3305,26.027564,44.42696,COMPASULUI
2344,26.024905,44.426803,ROMANCIERILOR
2345,26.017577,44.426194,FRIGOCOM
2346,26.012215,44.424761,VALEA OLTULUI
3513,26.005081,44.424193,RADOX
4324,25.999704,44.423677,VALEA CASCADELOR
2349,26.001552,44.428226,C.F.R. COTROCENI
413,26.002801,44.4317,CESAROM
415,25.992646,44.430804,URBIS
417,25.987702,44.430456,S.C. VEST
418,25.98301,44.430044,INSCUT
419,25.976398,44.429565,DEPOUL MILITARI
263,26.081004,44.383959,BACIULUI
264,26.084518,44.381677,CIMITIRUL PROGRESUL
265,26.091357,44.37887,SOSEAUA GIURGIULUI
2311,26.061802,44.447177,CALEA PLEVNEI
66,26.061454,44.449816,SPITALUL PANAIT SARBU
67,26.057058,44.454384,PASAJ GRANT
68,26.055465,44.4564,CIMITIRUL CALVIN
69,26.047265,44.460395,GEORGE VALSAN
70,26.041802,44.463211,BD. CONSTRUCTORILOR
71,26.038903,44.464777,GODENI
72,26.035509,44.466272,PIATA GIULESTI
73,26.031705,44.467464,COPSA MICA
74,26.0289,44.468336,INSTITUTUL PASTEUR
1311,26.025622,44.469333,DEPOUL GIULESTI
75,26.021761,44.470215,CARTIER 16 FEBRUARIE
4025,26.10735,44.430017,PIATA SF. VINERI
1314,26.02544,44.469365,DEPOUL GIULESTI
77,26.028666,44.468386,INSTITUTUL PASTEUR
78,26.031342,44.467555,COPSA MICA
79,26.035236,44.466341,PIATA GIULESTI
80,26.038614,44.464905,GODENI
81,26.042137,44.462984,BD. CONSTRUCTORILOR
82,26.047034,44.46047,GEORGE VALSAN
83,26.0554,44.456445,CIMITIRUL CALVIN
84,26.056956,44.454466,PASAJ GRANT
85,26.061336,44.449848,SPITALUL PANAIT SARBU
4258,,,CALEA PLEVNEI
479,26.113135,44.446579,MIHAI EMINESCU
559,26.077758,44.386364,ZETARILOR
404,26.081615,44.417477,PIATA CHIRIGIU
460,26.095033,44.423818,11 IUNIE
2364,26.096665,44.418826,PARCUL CAROL I
2366,26.108662,44.422661,PASAJ MARASESTI
502,26.131235,44.421793,DEPOUL DUDESTI
45,26.140873,44.419147,DRISTORULUI
440,26.113679,44.432952,ALEXANDRU SIHLEANU
3650,26.120552,44.433072,HALA TRAIAN
442,26.12022,44.43854,BD. PACHE PROTOPOPESCU
467,26.124235,44.441602,HOREI
468,26.130404,44.444298,SOSEAUA MIHAI BRAVU
13,26.13441,44.446064,SOSEAUA PANTELIMON
994,26.141019,44.444469,CIMITIRUL ARMENESC
469,26.149212,44.44363,SOSEAUA IANCULUI
449,26.157019,44.442914,BD. CHISINAU
2383,26.158384,44.438507,PICTOR HARLESCU
2384,26.159943,44.435147,BD. BASARABIA
566,26.164204,44.436075,BAIA DE ARAMA
567,,,LUCRETIU PATRASCANU
890,26.172637,44.436381,BD. 1 DECEMBRIE 1918
2985,26.172636,44.432332,BARAJUL IEZERU
2986,26.173386,44.430139,BARAJUL ROVINARI
3044,26.179024,44.426424,FAUR POARTA 4
2375,26.179586,44.426974,FAUR POARTA 4
2825,26.116036,44.448803,TOAMNEI
53,26.079181,44.416034,SOSEAUA PROGRESULUI
430,26.091483,44.421972,PIATA REGINA MARIA
475,26.095541,44.421136,GRAMONT
2365,26.103601,44.421063,BD. DIMITRIE CANTEMIR
2422,26.118231,44.423925,NERVA TRAIAN
501,26.126688,44.423548,POLICLINICA VITAN
3117,26.137654,44.419972,SOSEAUA MIHAI BRAVU
4322,26.146001,44.41781,PIATA RAMNICU SARAT
1822,26.154279,44.414482,FIZICIENILOR
3032,26.164885,44.412851,PIATA TITAN
1817,26.149936,44.416279,VOLUNTARILOR
1821,26.158453,44.413499,ILIOARA
2161,26.169013,44.411677,DUMBRAVA NOUA
1225,26.10985,44.442617,MARIA ROSETTI
207,26.108545,44.440423,BATISTEI
208,26.110089,44.43711,BD. CAROL I
2343,26.107639,44.434338,HRISTO BOTEV
2929,26.105534,44.432928,PIATA SF. GHEORGHE
