stop_id,stop_long,stop_lat,stop_name
2627,26.000056,44.433742,MASTER
3536,26.002859,44.433735,IMPRIMERIA NATIONALA
2580,26.007395,44.433818,AUTOGARA MILITARI
899,26.013271,44.434098,APUSULUI
681,26.015192,44.434098,VALEA LUNGA
692,26.021559,44.433869,PIATA GORJULUI
1285,26.025323,44.43394,RASARITULUI
697,26.029764,44.43405,VETERANILOR
706,26.03609,44.434078,LUJERULUI
708,26.04263,44.434165,LICEUL TUDOR VLADIMIRESCU
1273,26.048334,44.434215,U.P.B.
715,26.055221,44.434374,FACULTATEA ELECTRONICA
639,26.058369,44.434411,PIATA LEUL
251,26.068563,44.437463,CAROL DAVILA
900,26.070497,44.438585,POD COTROCENI
1128,26.073065,44.439977,MIRCEA VULCANESCU
586,26.078871,44.437171,CASA STUDENTILOR
587,26.0826,44.436696,VASILE PARVAN
758,26.08811,44.434806,PIATA MIHAIL KOGALNICEANU
2934,26.094497,44.434624,GRADINA CISMIGIU
759,26.100941,44.435126,UNIVERSITATE
760,26.105419,44.436004,PIATA ROSETTI
968,26.104268,44.43595,TEATRUL NATIONAL
729,26.100726,44.435286,UNIVERSITATE
2933,26.09376,44.434734,GRADINA CISMIGIU
731,26.086921,44.434605,PIATA MIHAIL KOGALNICEANU
2575,26.080658,44.434477,FACULTATEA DE DREPT
1997,26.074178,44.436505,STIRBEI VODA
848,26.065599,44.436496,GRADINA BOTANICA
1394,26.058617,44.434705,PIATA LEUL
733,26.053344,44.43463,BD. G-RAL VASILE MILEA
1098,26.047515,44.434592,U.P.B.
756,26.042784,44.434495,LICEUL TUDOR VLADIMIRESCU
2506,26.033664,44.4344,LUJERULUI
757,26.028823,44.434329,VETERANILOR
1282,26.023608,44.434291,RASARITULUI
766,26.021442,44.434232,PIATA GORJULUI
768,26.015205,44.434118,VALEA LUNGA
781,26.013286,44.434105,APUSULUI
2628,26.00557,44.433967,VALEA CASCADELOR
3535,26.002166,44.433933,IMPRIMERIA NATIONALA
2629,25.999155,44.433914,MASTER
784,26.074691,44.445728,GARA DE NORD
785,26.071337,44.44274,WITING
728,26.070403,44.438879,POD COTROCENI
2630,25.995086,44.434031,NUFARUL
2775,25.987437,44.435519,METRO MILITARI
2631,25.980638,44.435236,VICTORIA
1146,25.975448,44.435486,GRUP SCOLAR AUTO
1155,,,GRUP SCOLAR AUTO
834,26.055361,44.48288,DRIDU
2774,25.98924,44.434319,METRO MILITARI
2626,25.995328,44.433861,NUFARUL
2101,26.072455,44.440005,CALEA PLEVNEI
904,26.078196,44.44226,BD. DINICU GOLESCU
4545,,,BALOTULUI
1175,26.141992,44.468443,CARTIER COLENTINA
835,26.051414,44.482769,FAUREI
836,26.047367,44.482031,PIATA PAJURA
837,26.043,44.479879,PAJUREI
838,26.045114,44.477184,SOSEAUA CHITILEI
839,26.048043,44.473163,CARPATI
3154,26.050462,44.470258,CLABUCET
3233,26.051804,44.468597,R.A.R.
3156,26.054201,44.46553,LAINICI
3157,26.055669,44.463608,KIEV
3158,26.057441,44.461338,GRIRO
3159,26.058598,44.460338,CARAIMAN
3160,26.060255,44.457746,CIMITIRUL SFANTA VINERI
3161,26.061838,44.455671,PASAJ GRANT
3010,26.065277,44.452844,STOICA LUDESCU
2993,26.069417,44.45024,SOSEAUA NICOLAE TITULESCU
2994,26.074594,44.4479,GARA DE NORD
3253,26.078426,44.447148,POLIZU
438,26.081478,44.447938,PIATA BUZESTI
3141,26.087285,44.447048,SFINTII VOIEVOZI
2139,26.156242,44.466806,SPITALUL FUNDENI
1174,26.103062,44.447924,SPORTULUI
1176,26.13724,44.466192,RAUL COLENTINA
2863,26.074274,44.448288,GARA DE NORD
2995,26.06896,44.450793,NICOLAE TITULESCU
3009,26.064405,44.453716,STOICA LUDESCU
2996,26.061748,44.45645,PASAJ GRANT
3086,26.060076,44.458413,CIMITIRUL SFANTA VINERI
3087,26.058596,44.460318,CARAIMAN
3164,26.057379,44.461873,GRIRO
3165,26.055604,44.464159,KIEV
3166,26.053922,44.466383,LAINICI
3234,26.052719,44.467912,R.A.R.
3168,26.050559,44.470652,CLABUCET
828,26.048664,44.473101,CARPATI
829,26.044819,44.478056,DEPOUL BUCURESTII NOI
2043,26.01561,44.415664,VALEA ARGESULUI
1108,26.024334,44.416075,ALEEA VLASIEI
4497,26.035543,44.41784,1 MAI
2047,26.048054,44.420422,SIBIU
3993,,,CREMENITA (PIATA COLENTINA)
1029,26.132149,44.460491,DOAMNA GHICA
1030,26.129414,44.456411,TEIUL DOAMNEI
1177,26.125225,44.450729,BUCUR OBOR
1178,26.122245,44.446836,FAINARI
2403,26.119825,44.444343,MIHAI EMINESCU
2404,26.114981,44.438912,BD. CAROL I
2405,26.110481,44.437089,ARMENEASCA
730,26.088129,44.434786,PIATA MIHAIL KOGALNICEANU
2940,26.083787,44.436096,VASILE PARVAN
2055,26.021616,44.416668,DRUMUL TABEREI 98
1109,26.02772,44.4174,LICEUL EUGEN LOVINESCU
2046,26.042464,44.418555,DRUMETUL
2048,26.047301,44.423447,FAVORIT
2398,26.109275,44.436758,ARMENEASCA
1909,26.115245,44.438754,CALEA MOSILOR
2400,26.120175,44.444353,MIHAI EMINESCU
2401,26.123281,44.447562,FAINARI
1162,26.12598,44.45089,BUCUR OBOR
1017,26.128259,44.454134,ZIDURI MOSI
1018,26.131339,44.458685,SUVEICA
1163,26.133867,44.463059,DOAMNA GHICA
3994,,,CREMENITA (PIATA COLENTINA)
1164,26.139939,44.467193,RAUL COLENTINA
3344,26.144808,44.469299,CARTIER COLENTINA
1166,26.150455,44.470729,SPORTULUI
3351,26.15371,44.468465,BALOTULUI
518,26.05325,44.425342,ORIZONT
3471,26.054678,44.428226,BD. TIMISOARA
896,26.054499,44.433803,BD. IULIU MANIU
761,26.115283,44.437842,CALEA MOSILOR
789,26.121489,44.440321,FOISORUL DE FOC
790,26.128609,44.443398,SOSEAUA MIHAI BRAVU
2585,26.133459,44.445572,AVRIG
791,26.135862,44.446616,SOSEAUA PANTELIMON
792,26.140523,44.448228,GARA OBOR
973,26.169081,44.435587,BD. BASARABIA
774,26.143548,44.447206,BAICULUI
775,26.139911,44.44872,GARA OBOR
776,26.133908,44.445959,SOSEAUA PANTELIMON
777,26.130396,44.444446,SOSEAUA MIHAI BRAVU
778,26.126138,44.442582,OBORUL NOU
779,26.120322,44.440001,FOISORUL DE FOC
727,26.115112,44.437976,CALEA MOSILOR
1571,26.05413,44.433604,BD. IULIU MANIU
1572,26.054234,44.429795,BD.TIMISOARA
737,26.051206,44.425288,ORIZONT
2039,26.047125,44.423092,FAVORIT
4498,26.047095,44.419448,1 MAI
2294,26.118236,44.379212,ALIORULUI
94,26.115773,44.384726,DRAGOS MLADINOVICI
711,26.11866,44.388492,EMIL RACOVITA
713,26.124542,44.382362,ALIORULUI
975,26.166058,44.430112,CONSTANTIN BRANCUSI
2913,26.168152,44.433206,LICEUL NICHITA STANESCU
716,26.161185,44.42922,BD. NICOLAE GRIGORESCU
717,26.15577,44.428819,I.O.R.
718,26.150371,44.426239,SOSEAUA CAMPIA LIBERTATII
719,26.143582,44.425212,ION TUCULESCU
720,26.138281,44.424363,SOSEAUA MIHAI BRAVU
2071,26.136115,44.42583,AMAZOANEI
721,26.132228,44.428725,BD. DECEBAL
723,26.130238,44.43162,CALEA CALARASILOR
3125,26.127796,44.433603,BISERICA DELEA VECHE
724,26.12537,44.435402,TEPES VODA
725,26.12291,44.438809,MATEI VOIEVOD
726,26.119547,44.438777,TRAIAN
92,26.119722,44.377608,TURNU MAGURELE
93,26.115552,44.382124,STRADUINTEI
95,26.117945,44.388616,EMIL RACOVITA
3788,26.122442,44.384546,SPITALUL DR. ALEXANDRU OBREGIA
714,26.126285,44.380416,ALEEA RAUL TARGULUI
801,26.117656,44.444189,CALEA MOSILOR
3569,26.107405,44.44621,PIATA SPANIEI
810,26.096715,44.447362,PIATA ROMANA
428,26.082904,44.447821,PIATA BUZESTI
771,26.149433,44.425894,SOSEAUA CAMPIA LIBERTATII
772,26.155389,44.428503,I.O.R.
800,26.120958,44.44059,FOISORUL DE FOC
802,26.111257,44.445605,PIATA GEMENI
2409,26.100353,44.446845,CALEA DOROBANTILOR
403,26.089447,44.44855,CALEA VICTORIEI
2597,26.078294,44.447218,CALEA GRIVITEI
410,26.076725,44.448092,GARA DE NORD
317,26.100631,44.446652,LICEUL EC. VIRGIL MADGEARU
3568,26.108554,44.445934,PIATA SPANIEI
1158,26.112926,44.445147,PIATA GEMENI
